POSTLEITZAHL,ORTBEZ27,ORTBEZ18
3238,Gals,Gals
2500,Biel/Bienne Jardin Paradis,Biel/Bienne J.P.
2500,Biel/Bienne 7,Biel/Bienne 7
2501,Biel/Bienne,Biel/Bienne
2503,Biel/Bienne,Biel/Bienne
2505,Biel/Bienne,Biel/Bienne
2515,Prêles,Prêles
2517,Diesse,Diesse
2518,Nods,Nods
2533,Evilard,Evilard
2552,Orpund,Orpund
2553,Safnern,Safnern
2554,Meinisberg,Meinisberg
2558,Aegerten,Aegerten
2563,Ipsach,Ipsach
2564,Bellmund,Bellmund
2565,Jens,Jens
2605,Sonceboz-Sombeval,Sonceboz-Sombeval
2606,Corgémont,Corgémont
2608,Courtelary,Courtelary
2615,Montagne-de-Sonvilier,Montagne-Sonvilier
2717,Fornet-Dessous,Fornet-Dessous
2715,Châtelat-Monible,Châtelat-Monible
2716,Sornetan,Sornetan
2732,Reconvilier,Reconvilier
2736,Sorvilier,Sorvilier
2740,Moutier,Moutier
2748,Souboz,Souboz
2744,Belprahon,Belprahon
3000,Bern 6,Bern 6
3000,Bern 13,Bern 13
3000,Bern 14,Bern 14
3000,Bern 15,Bern 15
3000,Bern 16,Bern 16
3000,Bern Sulgenbach,Bern Sulgenbach
3000,Bern Postauto BE-FB-SO,Bern Postauto
3001,Bern,Bern
3005,Bern,Bern
3032,Hinterkappelen,Hinterkappelen
3036,Detligen,Detligen
3042,Ortschwaben,Ortschwaben
3043,Uettligen,Uettligen
3048,Worblaufen,Worblaufen
3054,Schüpfen,Schüpfen
3067,Boll,Boll
3072,Ostermundigen 1,Ostermundigen 1
3075,Rüfenacht BE,Rüfenacht BE
3078,Richigen,Richigen
3082,Schlosswil,Schlosswil
3089,Hinterfultigen,Hinterfultigen
3112,Allmendingen b. Bern,Allmendingen b. BE
3114,Wichtrach,Wichtrach
3115,Gerzensee,Gerzensee
3629,Kiesen,Kiesen
3628,Uttigen,Uttigen
3124,Belpberg,Belpberg
3665,Wattenwil,Wattenwil
3145,Niederscherli,Niederscherli
3150,Schwarzenburg,Schwarzenburg
3153,Rüschegg Gambach,Rüschegg Gambach
3154,Rüschegg Heubach,Rüschegg Heubach
3172,Niederwangen b. Bern,Niederwangen BE
3173,Oberwangen b. Bern,Oberwangen b. Bern
3174,Thörishaus,Thörishaus
3126,Gelterfingen,Gelterfingen
3204,Rosshäusern,Rosshäusern
3205,Gümmenen,Gümmenen
3225,Müntschemier,Müntschemier
3256,Dieterswil,Dieterswil
3257,Ammerzwil BE,Ammerzwil BE
3266,Wiler b. Seedorf,Wiler b. Seedorf
3268,Lobsigen,Lobsigen
3270,Aarberg,Aarberg
3272,Walperswil,Walperswil
3293,Dotzigen,Dotzigen
3313,Büren zum Hof,Büren zum Hof
3314,Schalunen,Schalunen
3315,Bätterkinden,Bätterkinden
3315,Kräiligen,Kräiligen
3322,Urtenen-Schönbühl,Urtenen-Schönbühl
3322,Mattstetten,Mattstetten
3324,Hindelbank,Hindelbank
3309,Kernenried,Kernenried
3372,Wanzwil,Wanzwil
3373,Heimenhausen,Heimenhausen
3373,Röthenbach Herzogenbuchsee,Röthenbach Hbsee
3365,Seeberg,Seeberg
3365,Grasswil,Grasswil
3366,Bettenhausen,Bettenhausen
3367,Thörigen,Thörigen
3400,Burgdorf,Burgdorf
3400,Burgdorf 1,Burgdorf 1
3400,Burgdorf Zustellung,Burgdorf Zust
3402,Burgdorf,Burgdorf
3413,Kaltacker,Kaltacker
3432,Lützelflüh-Goldbach,Lützelflüh-Goldb
3434,Obergoldbach,Obergoldbach
3435,Ramsei,Ramsei
3436,Zollbrück,Zollbrück
3437,Rüderswil,Rüderswil
3457,Wasen im Emmental,Wasen im Emmental
3462,Weier im Emmental,Weier im Emmental
3463,Häusernmoos im Emmental,Häusernmoos
3464,Schmidigen-Mühleweg,Schmidigen-Mühlew
3465,Dürrenroth,Dürrenroth
3472,Wynigen,Wynigen
3475,Riedtwil,Riedtwil
3507,Biglen,Biglen
3510,Konolfingen,Konolfingen
3672,Oberdiessbach,Oberdiessbach
3673,Linden,Linden
3674,Bleiken b. Oberdiessbach,Bleiken
3532,Zäziwil,Zäziwil
3535,Schüpbach,Schüpbach
3550,Langnau im Emmental,Langnau i. E.
3552,Bärau,Bärau
3555,Trubschachen,Trubschachen
3600,Thun,Thun
3603,Thun,Thun
3617,Fahrni b. Thun,Fahrni b. Thun
3636,Längenbühl,Längenbühl
3614,Unterlangenegg,Unterlangenegg
3615,Heimenschwand,Heimenschwand
3638,Blumenstein,Blumenstein
3647,Reutigen,Reutigen
3656,Aeschlen ob Gunten,Aeschlen ob Gunten
3702,Hondrich,Hondrich
3703,Aeschi b. Spiez,Aeschi b. Spiez
3706,Leissigen,Leissigen
3707,Därligen,Därligen
3711,Mülenen,Mülenen
3713,Reichenbach im Kandertal,Reichenbach i. K.
3715,Adelboden,Adelboden
3716,Kandergrund,Kandergrund
3718,Kandersteg,Kandersteg
3722,Scharnachtal,Scharnachtal
3724,Ried (Frutigen),Ried (Frutigen)
3754,Diemtigen,Diemtigen
3762,Erlenbach im Simmental,Erlenbach i. S.
3764,Weissenburg,Weissenburg
3775,Lenk im Simmental,Lenk im Simmental
3776,Oeschseite,Oeschseite
3778,Schönried,Schönried
3780,Gstaad,Gstaad
3803,Beatenberg,Beatenberg
3805,Goldswil b. Interlaken,Goldswil
3806,Bönigen b. Interlaken,Bönigen
3812,Wilderswil,Wilderswil
3814,Gsteigwiler,Gsteigwiler
3815,Zweilütschinen,Zweilütschinen
3816,Lütschental,Lütschental
3822,Isenfluh,Isenfluh
3826,Gimmelwald,Gimmelwald
3853,Niederried b. Interlaken,Niederried Interl
3857,Unterbach BE,Unterbach BE
3860,Meiringen,Meiringen
4539,Rumisberg,Rumisberg
4539,Farnern,Farnern
3375,Inkwil,Inkwil
3380,Wangen an der Aare,Wangen an der Aare
4911,Schwarzhäusern,Schwarzhäusern
4912,Aarwangen,Aarwangen
4913,Bannwil,Bannwil
4916,Untersteckholz,Untersteckholz
4917,Busswil b. Melchnau,Busswil b.Melchnau
4919,Reisiswil,Reisiswil
4922,Bützberg,Bützberg
4923,Wynau,Wynau
4924,Obersteckholz,Obersteckholz
4933,Rütschelen,Rütschelen
4937,Ursenbach,Ursenbach
4938,Rohrbach,Rohrbach
4942,Walterswil BE,Walterswil BE
4952,Eriswil,Eriswil
4954,Wyssachen,Wyssachen
3860,Brünig,Brünig
6083,Hasliberg Hohfluh,Hasliberg Hohfluh
6084,Hasliberg Wasserwendi,Hasliberg Wasserw
6086,Hasliberg Reuti,Hasliberg Reuti
3855,Schwanden b. Brienz,Schwanden-Brienz
2717,Rebévelier,Rebévelier
2575,Hagneck,Hagneck
3283,Niederried b. Kallnach,Niederried b. Kall
3472,Rumendingen,Rumendingen
3421,Rüti b. Lyssach,Rüti b. Lyssach
3425,Willadingen,Willadingen
3053,Deisswil b. Münchenbuchsee,Deisswil Mbuchsee
3305,Scheunen,Scheunen
3309,Zauggenried,Zauggenried
3510,Freimettigen,Freimettigen
3510,Häutligen,Häutligen
3504,Oberhünigen,Oberhünigen
3207,Golaten,Golaten
3272,Epsach,Epsach
3127,Lohnstorf,Lohnstorf
3116,Mühledorf BE,Mühledorf BE
3636,Forst b. Längenbühl,Forst
3366,Bollodingen,Bollodingen
4704,Wolfisberg,Wolfisberg
3656,Ringoldswil,Ringoldswil
2715,Châtelat,Châtelat
3415,Rüegsauschachen,Rüegsauschachen
3040,Bern Verarbeitungszentrum,Bern Verarb.zentr.
2575,Gerolfingen,Gerolfingen
3380,Wangen a. A. Kaserne,Wangen Kaserne
3632,Oberstocken,Oberstocken
3714,Frutigen Zustellung,Frutigen Zust
3073,Gümligen Zustellung,Gümligen Zust
3422,Kirchberg BE Zustellung,Kirchberg BE Zust
3110,Münsingen Zustellung,Münsingen Zust
3076,Worb Zustellung,Worb Zustellung
3000,Bern 65 SBB,Bern 65
2520,La Neuveville Distribution,La Neuveville Dist
2720,Tramelan Distribution,Tramelan Dist
2500,Biel/Bienne 10,Biel/Bienne 10
2610,Les Pontins,Les Pontins
3661,Uetendorf Zustellung,Uetendorf Zust
3071,Ostermundigen Zustellung,Ostermundigen Zust
3715,Adelboden Zustellung,Adelboden Zust
3780,Gstaad Zustellung,Gstaad Zustellung
3071,Ostermundigen Dist Ba,O’mundigen Dist Ba
3400,Burgdorf Filiale,Burgdorf Filiale
3071,Ostermundigen KATA,Ostermundigen KATA
3075,Vielbringen b. Worb,Vielbringen Worb
3000,Bern 1 PostParc,Bern 1 PostParc
3802,Interlaken Ost,Interlaken Ost
3030,Bern Finform,Bern Finform
3613,Steffisburg alte Bernstr,Steffisburg a.B.
3000,Bern Weissenbühl,Bern Weissenbühl
2560,Nidau Weyermattstrasse,Nidau Weyermatt
2500,Biel/Bienne Bahnhof/Gare GK,Biel/Bienne B/G GK
3090,Ostermundigen CALL,Ostermundigen CALL
3360,Herzogenbuchsee Lagerstr,Herzogenbuchs. Lag
3550,Langnau i. E. Bahnhofstr,Langnau i. E.Bahn
1797,Münchenwiler,Münchenwiler
2500,Biel/Bienne 1,Biel/Bienne 1
2500,Biel/Bienne 6,Biel/Bienne 6
2514,Ligerz,Ligerz
2537,Vauffelin,Vauffelin
2542,Pieterlen,Pieterlen
2543,Lengnau BE,Lengnau BE
2560,Nidau,Nidau
2576,Lüscherz,Lüscherz
3237,Brüttelen,Brüttelen
2603,Péry,Péry
2604,La Heutte,La Heutte
2607,Cortébert,Cortébert
2608,Montagne-de-Courtelary,Mtgne-Courtelary
2610,Mont-Crosin,Mont-Crosin
2615,Sonvilier,Sonvilier
2720,La Tanne,La Tanne
2722,Les Reussilles,Les Reussilles
2732,Saicourt,Saicourt
2732,Saules BE,Saules BE
2733,Pontenet,Pontenet
2735,Malleray-Bévilard,Malleray-Bévilard
2735,Bévilard,Bévilard
2738,Court,Court
2747,Seehof,Seehof
2745,Grandval,Grandval
3000,Bern Europaplatz,Bern Europaplatz
3000,Bern 9,Bern 9
3000,Bern 22,Bern 22
3002,Bern PostFinance,Bern PostFinance
3007,Bern,Bern
3010,Bern,Bern
3011,Bern,Bern
3014,Bern,Bern
3018,Bern,Bern
3033,Wohlen b. Bern,Wohlen b. Bern
3035,Frieswil,Frieswil
3038,Kirchlindach,Kirchlindach
3046,Wahlendorf,Wahlendorf
3063,Ittigen,Ittigen
3066,Stettlen,Stettlen
3068,Utzigen,Utzigen
3073,Gümligen,Gümligen
3077,Enggistein,Enggistein
3088,Oberbütschel,Oberbütschel
3086,Zimmerwald,Zimmerwald
3096,Oberbalm,Oberbalm
3098,Schliern b. Köniz,Schliern b. Köniz
3110,Münsingen,Münsingen
3116,Kirchdorf BE,Kirchdorf BE
3122,Kehrsatz,Kehrsatz
3125,Toffen,Toffen
3126,Kaufdorf,Kaufdorf
3128,Kirchenthurnen,Kirchenthurnen
3132,Riggisberg,Riggisberg
3664,Burgistein,Burgistein
3662,Seftigen,Seftigen
3663,Gurzelen,Gurzelen
3144,Gasel,Gasel
3147,Mittelhäusern,Mittelhäusern
3148,Lanzenhäusern,Lanzenhäusern
3152,Mamishaus,Mamishaus
3156,Riffenmatt,Riffenmatt
3176,Neuenegg,Neuenegg
3177,Laupen BE,Laupen BE
3203,Mühleberg,Mühleberg
3206,Rizenbach,Rizenbach
3232,Ins,Ins
3233,Tschugg,Tschugg
3234,Vinelz,Vinelz
3236,Gampelen,Gampelen
3250,Lyss Zustellung,Lyss Zustellung
3262,Suberg,Suberg
3263,Büetigen,Büetigen
3273,Kappelen,Kappelen
3274,Hermrigen,Hermrigen
3282,Bargen BE,Bargen BE
3292,Busswil BE,Busswil BE
3294,Büren an der Aare,Büren an der Aare
3295,Rüti b. Büren,Rüti b. Büren
3297,Leuzigen,Leuzigen
3302,Moosseedorf,Moosseedorf
3312,Fraubrunnen,Fraubrunnen
3325,Hettiswil b. Hindelbank,Hettiswil
3303,Zuzwil BE,Zuzwil BE
3305,Iffwil,Iffwil
3306,Etzelkofen,Etzelkofen
3317,Limpach,Limpach
3360,Herzogenbuchsee,Herzogenbuchsee
3374,Wangenried,Wangenried
3362,Niederönz,Niederönz
3363,Oberönz,Oberönz
3368,Bleienbach,Bleienbach
3401,Burgdorf,Burgdorf
3412,Heimiswil,Heimiswil
3414,Oberburg,Oberburg
3416,Affoltern im Emmental,Affoltern BE
3417,Rüegsau,Rüegsau
3418,Rüegsbach,Rüegsbach
3419,Biembach im Emmental,Biembach
3421,Lyssach,Lyssach
3422,Kirchberg BE,Kirchberg BE
3422,Rüdtligen,Rüdtligen
3423,Ersigen,Ersigen
3427,Utzenstorf,Utzenstorf
3438,Lauperswil,Lauperswil
3454,Sumiswald,Sumiswald
3456,Trachselwald,Trachselwald
3473,Alchenstorf,Alchenstorf
3475,Hermiswil,Hermiswil
3476,Oschwand,Oschwand
3111,Tägertschi,Tägertschi
3503,Gysenstein,Gysenstein
3512,Walkringen,Walkringen
3415,Schafhausen im Emmental,Schafhausen i. E.
3671,Brenzikofen,Brenzikofen
3533,Bowil,Bowil
3538,Röthenbach im Emmental,Röthenbach i. E.
3553,Gohl,Gohl
3600,Thun 2 Zustellung,Thun 2 Zustellung
3601,Thun Aarezentrum,Thun Aarezentrum
3602,Thun,Thun
3605,Thun,Thun
3608,Thun,Thun
3618,Süderen,Süderen
3619,Eriz,Eriz
3622,Homberg b. Thun,Homberg b. Thun
3635,Uebeschi,Uebeschi
3616,Schwarzenegg,Schwarzenegg
3623,Teuffenthal b. Thun,Teuffenthal BE
3625,Heiligenschwendi,Heiligenschwendi
3626,Hünibach,Hünibach
3646,Einigen,Einigen
3654,Gunten,Gunten
3655,Sigriswil,Sigriswil
3711,Emdthal,Emdthal
3714,Frutigen,Frutigen
3717,Blausee-Mitholz,Blausee-Mitholz
3725,Achseten,Achseten
3752,Wimmis,Wimmis
3753,Oey,Oey
3755,Horboden,Horboden
3758,Latterbach,Latterbach
3765,Oberwil im Simmental,Oberwil i. S.
3770,Zweisimmen,Zweisimmen
3771,Blankenburg,Blankenburg
3773,Matten (St. Stephan),Matten(St.Stephan)
3784,Feutersoey,Feutersoey
3800,Unterseen,Unterseen
3804,Habkern,Habkern
3813,Saxeten,Saxeten
3818,Grindelwald,Grindelwald
3822,Lauterbrunnen,Lauterbrunnen
3823,Wengen,Wengen
3825,Mürren,Mürren
3854,Oberried am Brienzersee,Oberried Brienz
3855,Brienz BE,Brienz BE
3855,Axalp,Axalp
3858,Hofstetten b. Brienz,Hofstetten BE
3864,Guttannen,Guttannen
4536,Attiswil,Attiswil
4537,Wiedlisbach,Wiedlisbach
4564,Zielebach,Zielebach
4704,Niederbipp,Niederbipp
4901,Langenthal,Langenthal
4955,Gondiswil,Gondiswil
4932,Lotzwil,Lotzwil
4936,Kleindietwil,Kleindietwil
4944,Auswil,Auswil
4938,Rohrbachgraben,Rohrbachgraben
4950,Huttwil,Huttwil
4953,Schwarzenbach (Huttwil),Schwarzenbach BE
3024,Bern,Bern
3030,Bern,Bern
3380,Walliswil b. Niederbipp,Walliswil-Nbipp
2715,Monible,Monible
2827,Schelten,Schelten
2572,Mörigen,Mörigen
3429,Hellsau,Hellsau
3324,Mötschwil,Mötschwil
3424,Oberösch,Oberösch
3256,Bangerten b. Dieterswil,Bangerten
3303,Münchringen,Münchringen
3671,Herbligen,Herbligen
3274,Bühl b. Aarberg,Bühl BE
3274,Merzligen,Merzligen
3632,Niederstocken,Niederstocken
3629,Jaberg,Jaberg
3116,Noflen BE,Noflen BE
3128,Rümligen,Rümligen
3376,Berken,Berken
3609,Thun,Thun
3415,Hasle b. Burgdorf,Hasle b. Burgdorf
3800,Interlaken Postauto BE Ober,Interlaken Pauto
3000,Bern 60 UPD,Bern 60 UPD
3250,Lyss Kaserne,Lyss Kaserne
3000,Bern 22 Kaserne,Bern 22 Kaserne
3600,Thun Dist Ba,Thun Dist Ba
3360,Herzogenbuchsee Zustellung,Hbuchsee Zust
3053,Münchenbuchsee Zustellung,M'buchsee Zust
3700,Spiez Zustellung,Spiez Zustellung
3612,Steffisburg 1 Zustellung,Steffisburg 1 Zust
2740,Moutier 1 Distribution,Moutier 1 Dist
3400,Burgdorf Dist Fil,Burgdorf Dist Fil
2610,St-Imier Distribution,St-Imier Dist
3415,Hasle-Rüegsau Zustellung,Hasle-Rüegsau Zust
3855,Brienz BE Zustellung,Brienz BE Zust
2333,La Cibourg,La Cibourg
