url,net_rent,plz,place,street,gross_rent,rooms,area,build_ren_year,balcony_terrace,description,objectID
https://www.homegate.ch/mieten/3001811155,3700,3011,Bern,Kramgasse 51,3850,3.5,160.0,0,False," Anhang  Miete CHF 3’850.–  Zimmer  3.5  Fläche  160 m2Kramgasse 51, 3011 BernDemografie und Steuern im Überblick: Gemeinde-Ratgeber für 3011 BernVerfügbarkeitVerfügbar ab:SofortEntspannt umziehen: Kostenlose Offerten für Umzug und ReinigungKostenNettomiete:CHF 3’700.– Nebenkosten:CHF 150.– Miete:CHF 3’850.– Alternative zum Mietzinsdepot: Jahresprämie ab CHF 485.10 (aktuell zusätzliche 20% Rabatt)Einfach und schnell zum Betreibungsauszug: Jetzt online bestellen für CHF 29.–EckdatenObjekttyp:Maisonette / DuplexAnzahl Zimmer: 3.5 Etage: 2 Anzahl Etagen: 2 Wohnfläche: 160 m2Merkmale und AusstattungWaschmaschineAltbauBeschreibung""3.5-Zimmer-Duplexwohnung mit grosszügiger Wohnküche""Zu vermieten ab 1. Mai 2022 oder nach Vereinbarung.Die Wohnung besticht mit folgenden Vorzügen:2 grosse Zimmer (je 42m2), je mit Kamin1 Zimmer mit eigener Ankleidesehr grosszügige moderne Wohnküche mit KochinselBadezimmer mit Badewanne und separates Gäste-WCHistorischer Kachelofen (mit Holz heizbar)Original ParkettbödenEigene Waschmaschine und Tumbler in separatem WaschraumEinbauschränkeKellerabteilEinkaufsmöglichkeiten in unmittelbarer NäheAnschluss an das öffentliche VerkehrsnetzLassen Sie sich verzaubern vom gediegenen Ambiente und den herrschaftlichen Räumen dieser historischen Altstadtwohnung.Originalelemente kombiniert mit zeitgemässer Architektur in Küche und Bad machen Lust auf ein Leben mitten im UNESCO-Weltkulturerbe.Kontakt Michael Sollberger  +41 79 754 20 90  +41 79 754 20 90  Nummer anzeigen Inseratenummer3001811155Objekt-Ref.4d7ez.nl5ua",3001811155
https://www.homegate.ch/mieten/3000857901,990,4912,Aarwangen,Wiesenstrasse 13,1240,4.5,0.0,0,True," Miete CHF 1’240.–  Zimmer  4.5 Wiesenstrasse 13, 4912 AarwangenDemografie und Steuern im Überblick: Gemeinde-Ratgeber für 4912 AarwangenVerfügbarkeitVerfügbar ab:SofortEntspannt umziehen: Kostenlose Offerten für Umzug und ReinigungKostenNettomiete:CHF 990.– Nebenkosten:CHF 250.– Miete:CHF 1’240.– Alternative zum Mietzinsdepot: Jahresprämie ab CHF 156.20 (aktuell zusätzliche 20% Rabatt)Einfach und schnell zum Betreibungsauszug: Jetzt online bestellen für CHF 29.–EckdatenObjekttyp:WohnungAnzahl Zimmer: 4.5 Etage: EG Merkmale und AusstattungHaustiere erlaubtBalkon / TerrasseAussichtKinderfreundlichParkplatzGarageBeschreibung""Attraktive Balkonwohnung mit grosszügigem Grundriss an grüner Lage!""Per sofort oder nach Vereinbarung vermieten wir diese helle und grossflächige 4.5-Zimmerwohnung. Zu Ihrer Wohnqualität: - Helle Küche mit Balkon, Glaskeramik und Geschirrspüler - Großzügiges Wohnzimmer mit Ausgang zum gemütlichen Balkon- Modernes Badezimmer mit Badewanne und Stauraum - Praktische Einbauschränke im Eingangsbereich - Balkon mit herrlicher Aussicht ins Grüne- Toller Garten mit Spielplatz, für jede Familie idealOptional kann ein Parkplatz oder Garagenbox dazu gemietet werden. Haben wir Ihr Interesse geweckt?Dann kontaktieren Sie uns um einen passenden Besichtigungstermin zu vereinbaren:Tel: 043 960 79 25Email: a.rosengarten@euro-estates.chFür allfällige Fragen stehen wir Ihnen gerne zur Verfügung und freuen uns auf Ihre Kontaktaufnahme.Besichtigung Online Live-Besichtigungen  Kontakt für Besichtigung  Frau Ayala Rosengarten  043 960 79 25  043 960 79 25  Nummer anzeigen Anbieter Euro Estates GmbH  Abteilung Verwaltung  Räffelstrasse 10 8045 ZürichKontakt Frau Ayala Rosengarten  043 960 79 25  043 960 79 25  Nummer anzeigen Inseratenummer3000857901Objekt-Ref.10307.10307.1003",3000857901
https://www.homegate.ch/mieten/3001705932,0,2564,Bellmund,Jensgasse 2,32400,2.5,66.0,0,True," Miete CHF 1’080.–  Zimmer  2.5  Fläche  66 m2Jensgasse 2, 2564 BellmundDemografie und Steuern im Überblick: Gemeinde-Ratgeber für 2564 BellmundVerfügbarkeitVerfügbar ab:Nach VereinbarungEntspannt umziehen: Kostenlose Offerten für Umzug und ReinigungKostenMiete:CHF 1’080.– Alternative zum Mietzinsdepot: Jahresprämie ab CHF 136.10 (aktuell zusätzliche 20% Rabatt)Einfach und schnell zum Betreibungsauszug: Jetzt online bestellen für CHF 29.–EckdatenObjekttyp:WohnungAnzahl Zimmer: 2.5 Wohnfläche: 66 m2Merkmale und AusstattungBalkon / TerrasseKabel-TVCheminéeAussichtParkplatzBeschreibung""Renovierte, grosse und sehr helle 2.5-Zimmerwohnung""​- sonnige Südlage mit Sicht auf Bielersee und Jura- öv und Coop 100 Meter- neues modernes Bad- offene Küche- helle Arbeitsnische mit Blick auf Garten- grosse neue Stilfenster mit glasteilenden Sprossen- 1370m2 grosser gepflegter Garten mit Gartenteich, Brunnenskulptur vom Künstler Housi Knecht- mehrere lauschige Sitzplätze- Gartencheminée- Gewölbekeller mit Kiesboden- Estrichabteil- Miete inkl. NK pauschal 1' 080.-- Parkplatz Fr. 40.-- Hunde nicht erwünscht- Vermietung an ruhige berufstätige Single- Anrufe 17:30 - 19:00 UhrKontakt Achermann Franz  +41 32 331 63 56  +41 32 331 63 56  Nummer anzeigen Inseratenummer3001705932Objekt-Ref.6acp7.uzsy3",3001705932
https://www.homegate.ch/mieten/3001601859,1950,3006,Bern,No information,2100,2.5,100.0,2021,True," Miete CHF 2’100.–  Zimmer  2.5  Fläche  100 m2 Der Anbieter hat keine genaue Adresse hinterlegt.  Adresse anfragen 3006 BernDemografie und Steuern im Überblick: Gemeinde-Ratgeber für 3006 BernVerfügbarkeitVerfügbar ab:SofortEntspannt umziehen: Kostenlose Offerten für Umzug und ReinigungKostenNettomiete:CHF 1’950.– Nebenkosten:CHF 150.– Miete:CHF 2’100.– Alternative zum Mietzinsdepot: Jahresprämie ab CHF 264.60 (aktuell zusätzliche 20% Rabatt)Einfach und schnell zum Betreibungsauszug: Jetzt online bestellen für CHF 29.–EckdatenObjekttyp:WohnungAnzahl Zimmer: 2.5 Etage: 1 Wohnfläche: 100 m2Letztes Renovationsjahr: 2021 Merkmale und AusstattungHaustiere erlaubtBalkon / TerrasseWaschmaschineAussichtRauchen erlaubtRuhige LageKinderfreundlichBeschreibung""2.5 Zimmer Dachwohnung mit Balkon und Gartensitzplatz in der Elfenau""Nach sorgfältigem Umbau/Renovation ist hier im oberen Stockwerk des freistehenden Hauses eine grosse, helle, völlig autonome Wohnung entstanden:100 m2 Wohnfläche plus nutzbarer Dachraum, Estrich und viel Abstellraum in Dachschrägeseparater EingangParkett und RiemenbodenSchwedenofenWohnküche mit Waschturmschöner Balkon im Dachkleines Badezimmer mit Dusche und zusätzliches Lavabo in einem ZimmerGartensitzplatz zur MitbenutzungInseratenummer3001601859Objekt-Ref.5p3wm.ap2vy",3001601859
https://www.homegate.ch/mieten/3001789326,1240,3007,Bern,Belpstrasse 23,1240,1.5,23.0,2022,False," Miete CHF 1’240.–  Zimmer  1.5  Fläche  23 m2Belpstrasse 23, 3007 BernDemografie und Steuern im Überblick: Gemeinde-Ratgeber für 3007 BernVerfügbarkeitVerfügbar ab:SofortEntspannt umziehen: Kostenlose Offerten für Umzug und ReinigungKostenNettomiete:CHF 1’240.– Miete:CHF 1’240.– Alternative zum Mietzinsdepot: Jahresprämie ab CHF 156.20 (aktuell zusätzliche 20% Rabatt)Einfach und schnell zum Betreibungsauszug: Jetzt online bestellen für CHF 29.–EckdatenObjekttyp:WohnungAnzahl Zimmer: 1.5 Wohnfläche: 23 m2Letztes Renovationsjahr: 2022 Merkmale und AusstattungGarageLiftBeschreibung""City Pop - Deine flexible Lösung für lange und kürzere Aufenthalte""City Pop - Deine flexible Lösung für lange und kürzere Aufenthalte um dich wie zu Hause zu fühlen.Ab 310CHF/Woche, bieten wir zentral gelegene Wohnungen in Bern an, von rund 23 Quadratmeter. Diese möblierten Wohnungen garantieren ein authentisches Wohnerlebnis:Inkludiert im Angebot:- Möblierte Wohnungen mit Küche, Wohnzimmer, Schlafbereich und Bad;- Vollständiges Inventar für Küche (Teller, Gläser, Töpfe usw.), Schlafbereich und Handtücher;- Nebenkosten (Elektrizität, Wasser);- Wi-Fi;- Smart TV (Serafe excl.);- Frühstück (Croissant und Kaffee)Aber das ist noch nicht alles!Dieses fantastische und innovative Wohnkonzept ist frei von vertraglichen Beschränkungen hinsichtlich der Mindestaufenthaltsdauer und kann auch für 4 Wochen bis maximal 52 Wochen gebucht werden.Es steht eine breite Palette von Standard- und Zusatzdiensten zur Verfügung, die z.B. über die City-Pop-App aktiviert werden können:- Reinigungsservice (wöchentlich, zweiwöchentlich)- Kellerraum- Parkplatz (intern und extern)Jeder Gast kann sich sein eigenes Angebot an Dienstleistungen zusammenstellen und anpassen, um seinen Bedürfnissen und seinem Lebensstil am besten gerecht zu werden.Erfahre mehr über unsere Website oder durch unsere App ""Citypop""!Wir freuen uns auf deine Buchung!*********************************City Pop - Your flexible solution for long and short stays to feel at home.From 380CHF/week, we offer a centrally located apartments in Bern, of about 23 square meters. This furnished apartment guarantees an authentic living experience: you can relax, work, sleep, cook and eat, all in an apartment with such an organized 4-star interior:- Complete furnished apartment with kitchen, living room, sleeping area and bathroom;- Complete inventory for kitchen (plates, glasses, pots, etc.), sleeping area and towels;- Expenses costs (electricity, water);- Fast Internet connection;- Smart TV (Serafe excluded);- Breakfast (croissant and coffee).But there is more! This fantastic and innovative living concept is free of contractual restrictions regarding the minimum length of stay: City Pop can be booked for 4 weeks up to a maximum of 52 weeks.A wide range of standard and additional services is available, which can be activated e.g. via the City-Pop-App:- Cleaning service (weekly, biweekly);- Storage;- Parking spot (internal and external).Each guest can create and adapt his or her own range of services to best suit his or her needs and lifestyle.Get more information to our Website or through our App ""Citypop""!We are looking forward to meeting you soon at City Pop!City Pop WebsiteAnbieter Artisa Consulting SA  Via Cantonale 36 6928 MannoInseratenummer3001789326Objekt-Ref.4f71t.ofjte",3001789326
https://www.homegate.ch/mieten/3001748147,1600,3007,Bern,Caecilienstrasse 26,1850,1.0,80.0,0,True," Miete CHF 1’850.–  Zimmer  1  Fläche  80 m2Caecilienstrasse 26, 3007 BernDemografie und Steuern im Überblick: Gemeinde-Ratgeber für 3007 BernVerfügbarkeitVerfügbar ab:SofortEntspannt umziehen: Kostenlose Offerten für Umzug und ReinigungKostenNettomiete:CHF 1’600.– Nebenkosten:CHF 250.– Miete:CHF 1’850.– Alternative zum Mietzinsdepot: Jahresprämie ab CHF 233.10 (aktuell zusätzliche 20% Rabatt)Einfach und schnell zum Betreibungsauszug: Jetzt online bestellen für CHF 29.–EckdatenObjekttyp:LoftAnzahl Zimmer: 1 Etage: 4 Wohnfläche: 80 m2Merkmale und AusstattungBalkon / TerrasseAussichtRuhige LageAltbauBeschreibung""SINGLE-LOFT-WOHNUNG""Lichtdurchflutete offene Loft-Wohnung mit Dachterrasse, ca. 80m2 WF, ganze Wohnung mit Parkettboden, neue moderne Küche mit GS/GL/KS, Dusche/WS mit Dachfenster, auf Wunsch mit Kellerabteil.ruhige Wohnlage Nähe ÖV, Post und Einkaufsmöglichkeiten, 7 Min. HB BernKontakt M. Liechti  +41 79 676 35 09  +41 79 676 35 09  Nummer anzeigen Inseratenummer3001748147Objekt-Ref.63mg4.dv53f",3001748147
https://www.homegate.ch/mieten/3001761767,1350,3011,Bern,Brunngasse 30,1470,1.5,33.0,0,False," Anhang  Miete CHF 1’470.–  Zimmer  1.5  Fläche  33 m2Brunngasse 30, 3011 BernDemografie und Steuern im Überblick: Gemeinde-Ratgeber für 3011 BernVerfügbarkeitVerfügbar ab:Nach VereinbarungEntspannt umziehen: Kostenlose Offerten für Umzug und ReinigungKostenNettomiete:CHF 1’350.– Nebenkosten:CHF 120.– Miete:CHF 1’470.– Alternative zum Mietzinsdepot: Jahresprämie ab CHF 185.20 (aktuell zusätzliche 20% Rabatt)Einfach und schnell zum Betreibungsauszug: Jetzt online bestellen für CHF 29.–EckdatenObjekttyp:WohnungAnzahl Zimmer: 1.5 Etage: 5 Wohnfläche: 33 m2Merkmale und AusstattungKabel-TVAussichtLiftBeschreibung""Traumwohnung in der Altstadt!""Per 01.05.2022 vermieten wir dieses luxuriöse Stadt-Apartment mit folgenden Eigenschaften: Parkettbodenbeläge aus EicheStufenlose Nasszellen mit modernem PlattenbodenModerne Küche mit Glaskeramikkochfeld, Dampfabzug und GeschirrspülerWaschtrockner-Kombigerätkleines Estrichabteil*Die Fotos sind von einer vergleichbaren Wohnung * Haben wir Ihr Interesse geweckt? So zögern Sie nicht und sichern Sie sich noch heute Ihren Besichtigungstermin. Wir freuen uns auf Sie!Anbieter Elron Immobilien AG  Worbstrasse 46 3074 Muri b. BernKontakt Diego Tassone, Stephanie Wyss Inseratenummer3001761767Objekt-Ref.89.1.153.",3001761767
https://www.homegate.ch/mieten/3001819080,1460,3011,Bern,Brunngasse 30,1590,1.5,39.0,0,False," Anhang  Miete CHF 1’590.–  Zimmer  1.5  Fläche  39 m2Brunngasse 30, 3011 BernDemografie und Steuern im Überblick: Gemeinde-Ratgeber für 3011 BernVerfügbarkeitVerfügbar ab:01.06.2022Entspannt umziehen: Kostenlose Offerten für Umzug und ReinigungKostenNettomiete:CHF 1’460.– Nebenkosten:CHF 130.– Miete:CHF 1’590.– Alternative zum Mietzinsdepot: Jahresprämie ab CHF 200.30 (aktuell zusätzliche 20% Rabatt)Einfach und schnell zum Betreibungsauszug: Jetzt online bestellen für CHF 29.–EckdatenObjekttyp:WohnungAnzahl Zimmer: 1.5 Etage: 3 Wohnfläche: 39 m2Merkmale und AusstattungKabel-TVAussichtLiftBeschreibung""Traumwohnung in der Altstadt!""Per 01.06.2022 oder nach Vereinbarung vermieten wir dieses luxuriöse Stadt-Apartment mit folgenden Eigenschaften: Parkettbodenbeläge im WohnraumStufenlose Nasszellen mit modernem PlattenbodenModerne Küche mit Glaskeramikkochfeld, Mikrowellenkombigerät, Dampfabzug und GeschirrspülerWaschtrockner-Kombigerät*Die Fotos sind von einer vergleichbaren Wohnung* Haben wir Ihr Interesse geweckt? So zögern Sie nicht und sichern Sie sich noch heute Ihren Besichtigungstermin. Wir freuen uns auf Sie!Anbieter Elron Immobilien AG  Worbstrasse 46 3074 Muri b. BernKontakt Diego Tassone, Stephanie Wyss Inseratenummer3001819080Objekt-Ref.89.1.131",3001819080
https://www.homegate.ch/mieten/3001839678,1550,3011,Bern,Bärenplatz 9,1660,2.0,39.0,0,False," 360° Rundgang  Grundrissplan App. 1.6  Miete CHF 1’660.–  Zimmer  2  Fläche  39 m2Bärenplatz 9, Käfiggässchen 10, 3011 BernDemografie und Steuern im Überblick: Gemeinde-Ratgeber für 3011 BernVerfügbarkeitVerfügbar ab:01.08.2022Entspannt umziehen: Kostenlose Offerten für Umzug und ReinigungKostenNettomiete:CHF 1’550.– Nebenkosten:CHF 110.– Miete:CHF 1’660.– Alternative zum Mietzinsdepot: Jahresprämie ab CHF 209.20 (aktuell zusätzliche 20% Rabatt)Einfach und schnell zum Betreibungsauszug: Jetzt online bestellen für CHF 29.–EckdatenObjekttyp:Maisonette / DuplexAnzahl Zimmer: 2 Etage: 4 Anzahl Etagen: 2 Wohnfläche: 39 m2Beschreibung""Erstbezug: Stadtappartements am Bärenplatz!""Auf Sommer 2022 entstehen am Bärenplatz in Bern, im Herzen der Schweizer Hauptstadt 15 exklusive Appartements mit einzigartigem Flair. Nebst der ausgezeichneten Lage und den sorgfältig ausgewählten Materialien wissen die Stadtwohnungen auch mit geschichtsträchtigen Details zu überzeugen. Weitere Infos kurz zusammengefasst: Hochwertige, z.T. historische und restaurierte Materialien  Garderobe im Eingangsbereich  Einbauschränke im Dachgeschoss  Umluftkühlung im Dachgeschoss  gemeinsame Terrasse mit Blick auf das BundeshausWeitere Informationen, detaillierte Kurzbaubeschriebe sowie das gesamte Wohnungsangebot finden Sie auf unserer Projekthomepage www.bärenplatz.ch. Wir freuen uns auf Sie! *Bei den Visualisierungen handelt es sich um Musterfotos, die lediglich den Ausbaustandard darstellen. Die genaue Raumaufteilung entnehmen Sie den jeweiligen Grundrissplänen.WebseiteAnbieter PSP Management AG  Seestrasse 353 8038 ZürichKontakt Peikert Anna Luna  044 625 50 07  044 625 50 07  Nummer anzeigen Inseratenummer3001839678Objekt-Ref.1184",3001839678
https://www.homegate.ch/mieten/3001839680,2780,3011,Bern,Bärenplatz 9,2990,3.0,84.0,0,False," 360° Rundgang  Grundrissplan App. 1.1.  Miete CHF 2’990.–  Zimmer  3  Fläche  84 m2Bärenplatz 9, Käfiggässchen 10, 3011 BernDemografie und Steuern im Überblick: Gemeinde-Ratgeber für 3011 BernVerfügbarkeitVerfügbar ab:01.08.2022Entspannt umziehen: Kostenlose Offerten für Umzug und ReinigungKostenNettomiete:CHF 2’780.– Nebenkosten:CHF 210.– Miete:CHF 2’990.– Alternative zum Mietzinsdepot: Jahresprämie ab CHF 376.70 (aktuell zusätzliche 20% Rabatt)Einfach und schnell zum Betreibungsauszug: Jetzt online bestellen für CHF 29.–EckdatenObjekttyp:Maisonette / DuplexAnzahl Zimmer: 3 Etage: 4 Anzahl Etagen: 2 Wohnfläche: 84 m2Beschreibung""Erstbezug: Stadtappartements am Bärenplatz!""Auf Sommer 2022 entstehen am Bärenplatz in Bern, im Herzen der Schweizer Hauptstadt 15 exklusive Appartements mit einzigartigem Flair. Nebst der ausgezeichneten Lage und den sorgfältig ausgewählten Materialien wissen die Stadtwohnungen auch mit geschichtsträchtigen Details zu überzeugen. Weitere Infos kurz zusammengefasst: Hochwertige, z.T. historische und restaurierte Materialien  Garderobe im Eingangsbereich  Einbauschränke im Dachgeschoss  Umluftkühlung im Dachgeschoss  gemeinsame Terrasse mit Blick auf das BundeshausWeitere Informationen, detaillierte Kurzbaubeschriebe sowie das gesamte Wohnungsangebot finden Sie auf unserer Projekthomepage www.bärenplatz.ch. Wir freuen uns auf Sie! *Bei den Visualisierungen handelt es sich um Musterfotos, die lediglich den Ausbaustandard darstellen. Die genaue Raumaufteilung entnehmen Sie den jeweiligen Grundrissplänen.WebseiteAnbieter PSP Management AG  Seestrasse 353 8038 ZürichKontakt Peikert Anna Luna  044 625 50 07  044 625 50 07  Nummer anzeigen Inseratenummer3001839680Objekt-Ref.1182",3001839680
