rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,infos,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,url_immoscout
"2,5 Zimmer",No information,CHF 1100.—,No information,3775,Lenkstrasse 11,Lenk im Simmental,No information,"Sonniges, renoviertes Studio mit Balkon im Dorf Lenk,Für Mieter mit Lebensmittelpunkt Lenk.Mindestmietdauer 1 JahrNichtraucherhausPP zumietbar (CHF 50/Mt.)",True,False,False,True,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-lenk-im-simmental/6099976
"4,5 Zimmer",120 m²,CHF 1600.—,CHF 1400.—,2710,Grand-Rue 16,Tavannes,2022,"Appartement rénové avec beaucoup de style à l'ancien. Cuisine moderne bien équipée ouverte avec un grand salon, 3 chambres à coucher, salle des bains avec baignoire, terasse avec une belle vue, cave.",True,False,False,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-tavannes/7113464
"3,5 Zimmer",No information,CHF 1980.—,CHF 1800.—,3294,Bernstrasse 13,Büren an der Aare,No information,Diese grosszügige 3.5 Zimmer Wohnung ist ein echter Traum!Liegt direkt an der Aare somit hat man vom Balkon einen schönen Blick auf den Fluss.Die komplette Ausstattung der Wohnung ist hochmodern:-2 Badezimmer-Induktionsherd-Steamer-Elektrische Storen-Eigener Waschturm in der WohnungEinkaufsmöglichkeiten direkt um die Ecke und ÖV anschluss 2 Gehminuten entfernt.,True,False,True,False,False,False,True,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-bueren-an-der-aare/7100998
3 Zimmer,No information,CHF 1450.—,CHF 1300.—,3014,Stauffacherstrasse 24,Bern,No information,"Zu vermieten ab 1. August 2022 oder nach Vereinbarung3-Zimmer-Wohnung an äusserst zentrale Lage - nahe Stadtzentrum, Bahnhof Wankdorf, Wankdorf-Center, Wylerbad, Breitenrain-Platz, Restaurants, Einkaufsmöglichkeiten, Schulen etc.praktische EinbauschränkeKellerGarten zur MitbenutzungDie Wohnung wird im Laufe des Monates Juli 2022 noch komplett neu gestrichen werden.Anfragen bezüglich Besichtigungstermine und alle Fragen rund um das Mietobjekt wenn möglich via Kontaktformular.",False,False,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7111096
3 Zimmer,80 m²,CHF 920.—,CHF 750.—,4923,Aegertenstrasse12,Wynau,No information,"3-Zimmerwohnung in Altbau ideal für Ein-Personenhaushalt, verglaste Laube und zusätzlicher Gartensitzplatz.grosse Garage vorhanden  zusätzlich",True,False,False,False,True,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-wynau/7065520
3 Zimmer,110 m²,CHF 1370.—,CHF 1150.—,2502,Bahnhofstrasse 28,Biel/Bienne,No information,"Bahnhofstrasse 28 - Biel (oberhalb Cordonbleu House)Im Zentrum, an der Einkaufsmeile im Herzen der Stadt Biel vermieten wir nach Vereinbarung in einem 4-Familienhaus charmanteca.110 m2 grosse 3 - Zimmerwohnung im 2. Obergeschoss (ohne Lift)Die Wohnung verfügt über:ca. 110 m2Antiker Parkett in den ZimmerModerne Essküche mit Glaskeramik und grossem Kühlschrank.Dusche und sep. WCviele Einbauschränkegrosszügiges Reduit/Umkleidesehr zentrale Lage/ inmitten der Stadtöffentliche Verkehrsmittel wie Bus und Einkaufsmöglickeiten sind in unmittelbarer NäheMietzins: CHF 1150 + 220 HK/NKWir freuen uns auf Ihre Kontaktaufnahme.Ihr ROTH IMMO Team!",False,True,False,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7112857
"3,5 Zimmer",89 m²,CHF 1875.—,CHF 1665.—,3014,No information,Bern,No information,"Diese grosszügige 3.5 Zimmerwohnung ist zentral im Breitenrain in einer sehr ruhigen Zone gelegen.Sie verfügt über helllichte Zimmer mit Original-Parkettböden aus dem Jahre 1905.2 Zimmer sind mit grossräumigen Wandschränken ausgestattet.Die Wohnküche und die Loggia, sowie der Gang sind mit Plattenböden verlegt.Der Gang ist mit einer praktischen Garderobe ausgestattet.Die Küche verfügt über einen Glaskeramikherd, Dampfabzug, Geschirrspüler und Kühlschrank. Sie kann ohne weiteres als Wohnküche verwendet werden, da genügend Platz vorhanden ist, um einen Tisch hineinzustellen.Das Badezimmer hat eine Badewanne, Toilette, Waschbecken mit Unterschrank, Spiegelschrank und ein Fenster.Die sonnige Loggia ist beheizt.Glasfasernetz vorhanden.Kellerabteil vorhanden.Grosse für bloss zwei Parteien gemeinsame Waschküche mit Waschmaschine und Tumbler.Ein lauschiger Garten mit Rasen und separatem Sitzplatz kann mitbenützt werden.Ein Parkplatz direkt neben dem Haus kann bei Bedarf gemietet werden.Die öffentlichen Verkehrsmittel (Tramlinie 9, Buslinie 20) sind in wenigen Gehminuten zu erreichen.PS: Für Kinder nicht geeignet.",True,False,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7112822
"2,5 Zimmer",No information,CHF 1080.—,CHF 930.—,3013,Nordring 64,Bern,No information,"Ab 1. Juli 2022 vermieten wir in der Lorraine eine  gemütliche 2.5-Zimmer-Dachwohnung.Die Wohnung verfügt über folgende Ausstattung:• abgeschlossene Küche• Plattenboden• kein Lift• kein BalkonDer Bahnhof ist mit dem Fahrrad oder dem Öffentlichen Verkehr in wenigen Minuten erreichbar.Haben wir Ihr Interesse geweckt? Dann zögern Sie nicht, uns für einen unverbindlichen Besichtigungstermin zu kontaktieren.",False,False,False,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7112499
3 Zimmer,No information,CHF 1790.—,No information,3047,Aeschenbrunnmattstrasse 1,Bremgarten b. Bern,No information,Wir vermieten ab 1. Juli 2022 oder nach Vereinbarung eine wunderschöne 3-Zimmer-Dachwohnung in Bremgarten bei Bern:moderne Küche mit GS und GKBad / WCParkett- und Plattenbödenpraktischer Grundriss3 Dachterrassen mit AussichtSchwedenofen im WohnzimmerAussenparkplatz im Mietzins inbegriffenEinkaufsmöglichkeiten Kalchacker in der NäheÖffentlicher Verkehr in unmittelbarer NäheAare zu Fuss erreichbarFür eine unverbindliche Besichtigung nehmen Sie bitte mit uns Kontakt auf. Wir freuen uns auf Ihren Anruf!,True,False,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-bremgarten-b-bern/7109896
3 Zimmer,65 m²,CHF 1200.—,CHF 1000.—,3380,Stöckenstrasse 5,Wangen an der Aare,2015,No information,True,False,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-wangen-an-der-aare/7040965
