rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_flatfox
1.0,27.0,920,850,3018,Mühledorfstrasse 2,Bern,2017,False,True,True,False,True,False,False,False,True,34.07,920.0,27.0,False,False,False,920_27.0_1.0_3018_Mühledorfstrasse2_Bern,https://flatfox.ch/de/wohnung/muhledorfstrasse-2-3018-bern/584519/
3.5,82.0,1860,1650,2502,Jakob-Stämpfli-Strasse 112a,Biel/Bienne,0,True,False,False,False,True,True,False,True,True,22.68,531.43,23.43,False,True,False,1860_82.0_3.5_2502_Jakob-Stämpfli-Strasse112a_Biel/Bienne,https://flatfox.ch/de/wohnung/jakob-stampfli-strasse-112a-2502-bielbienne/593058/
2.0,50.0,1350,1250,3018,Wangenstrasse 62,Bern,0,False,False,True,True,False,False,False,False,False,27.0,675.0,25.0,False,False,False,1350_50.0_2.0_3018_Wangenstrasse62_Bern,https://flatfox.ch/de/wohnung/wangenstrasse-62-3018-bern/586247/
1.0,25.0,500,500,3400,Tiergarten 3,Burgdorf,1997,False,False,False,False,False,False,False,True,True,20.0,500.0,25.0,False,False,False,500_25.0_1.0_3400_Tiergarten3_Burgdorf,https://flatfox.ch/de/wohnung/tiergarten-3-3400-burgdorf/468885/
4.5,91.0,1500,1250,4900,Lagerweg 8,Langenthal,2009,True,True,True,True,False,True,False,False,False,16.48,333.33,20.22,False,True,False,1500_91.0_4.5_4900_Lagerweg8_Langenthal,https://flatfox.ch/de/wohnung/lagerweg-8-4900-langenthal/584771/
3.5,74.0,1715,1545,3018,Mühledorfstrasse 25,Bern,1977,True,False,False,True,False,False,False,False,True,23.18,490.0,21.14,False,False,False,1715_74.0_3.5_3018_Mühledorfstrasse25_Bern,https://flatfox.ch/de/wohnung/muhledorfstrasse-25-3018-bern/594611/
2.5,49.0,930,740,2504,Poststrasse 42,Biel/Bienne,0,True,False,True,False,False,False,False,False,True,18.98,372.0,19.6,False,True,False,930_49.0_2.5_2504_Poststrasse42_Biel/Bienne,https://flatfox.ch/de/wohnung/poststrasse-42-2504-bielbienne/602479/
3.5,74.0,1160,930,2603,Rue des Ruaux 9,Péry,0,True,False,False,False,False,False,False,False,False,15.68,331.43,21.14,False,False,False,1160_74.0_3.5_2603_RuedesRuaux9_Péry,https://flatfox.ch/de/wohnung/rue-des-ruaux-9-2603-pery/597584/
3.0,60.0,910,660,2610,Midi 5,St-Imier,0,False,False,False,False,False,False,False,False,False,15.17,303.33,20.0,False,False,False,910_60.0_3.0_2610_Midi5_St-Imier,https://flatfox.ch/de/wohnung/midi-5-2610-st-imier/476480/
3.5,100.0,1100,1300,3257,No information,Grossaffoltern,0,True,True,False,True,False,False,False,False,False,11.0,314.29,28.57,False,False,False,1100_100.0_3.5_3257_Noinformation_Grossaffoltern,https://flatfox.ch/de/wohnung/3257-grossaffoltern/598458/
2.5,64.0,1540,1300,4938,Allmendstrasse 20,Rohrbach,2017,True,False,True,False,True,False,False,False,False,24.06,616.0,25.6,False,False,False,1540_64.0_2.5_4938_Allmendstrasse20_Rohrbach,https://flatfox.ch/de/wohnung/allmendstrasse-20-4938-rohrbach/603836/
2.0,50.0,1100,1100,2552,No information,Orpund,0,True,True,False,True,False,False,False,False,False,22.0,550.0,25.0,False,False,False,1100_50.0_2.0_2552_Noinformation_Orpund,https://flatfox.ch/de/wohnung/2552-orpund/603694/
3.5,80.0,1375,1375,3018,No information,Bern,0,True,True,False,True,False,False,False,True,True,17.19,392.86,22.86,False,False,False,1375_80.0_3.5_3018_Noinformation_Bern,https://flatfox.ch/de/wohnung/3018-bern/603682/
2.5,62.5,890,720,3400,Poststrasse 7,Burgdorf,0,True,False,True,False,False,False,False,False,False,14.24,356.0,25.0,False,False,False,890_62.5_2.5_3400_Poststrasse7_Burgdorf,https://flatfox.ch/de/wohnung/poststrasse-7-3400-burgdorf/599684/
3.0,63.0,1400,1150,3018,Fröschmattstrasse 26,Bern,1952,True,False,False,False,False,False,False,False,False,22.22,466.67,21.0,False,True,False,1400_63.0_3.0_3018_Fröschmattstrasse26_Bern,https://flatfox.ch/de/wohnung/froschmattstrasse-26-3018-bern/595367/
3.0,70.0,1470,1250,3075,Scheyenholzstr. 27,Rüfenacht BE,1967,True,False,False,False,False,False,False,False,False,21.0,490.0,23.33,False,True,False,1470_70.0_3.0_3075_Scheyenholzstr27_Rüfenacht BE,https://flatfox.ch/de/wohnung/scheyenholzstr-27-3075-rufenacht-be/596091/
2.5,59.0,1350,1170,4704,Steingasse 25,Niederbipp,2013,True,True,True,False,True,True,False,False,True,22.88,540.0,23.6,False,False,False,1350_59.0_2.5_4704_Steingasse25_Niederbipp,https://flatfox.ch/de/wohnung/steingasse-25-4704-niederbipp/577462/
3.5,82.0,1795,1620,3098,Schaufelweg 21,Schliern b. Köniz,0,True,False,False,False,False,False,False,False,True,21.89,512.86,23.43,False,False,False,1795_82.0_3.5_3098_Schaufelweg21_Schliern b. Köniz,https://flatfox.ch/de/wohnung/schaufelweg-21-3098-schliern-b-koniz/580226/
3.5,86.0,1500,1250,2504,Bözingenstrasse 148,Biel,2021,True,True,False,False,False,False,False,True,False,17.44,428.57,24.57,False,False,False,1500_86.0_3.5_2504_Bözingenstrasse148_Biel,https://flatfox.ch/de/wohnung/bozingenstrasse-148-2504-biel/578742/
