rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_homegate
3.5,160.0,3850,3700,0,Kramgasse 51,Bern,0,False,False,False,False,False,False,False,True,False,24.06,1100.0,45.71,False,False,False,3850_160.0_3.5_0_Kramgasse51_Bern,https://www.homegate.ch/mieten/3001811155
4.5,0.0,1240,990,0,Wiesenstrasse 13,Aarwangen,0,True,True,False,True,False,False,False,False,False,0.0,275.56,0.0,False,False,False,1240_0.0_4.5_0_Wiesenstrasse13_Aarwangen,https://www.homegate.ch/mieten/3000857901
2.5,66.0,32400,0,0,Jensgasse 2,Bellmund,0,True,False,False,True,False,False,False,False,False,490.91,12960.0,26.4,False,False,False,32400_66.0_2.5_0_Jensgasse2_Bellmund,https://www.homegate.ch/mieten/3001705932
2.5,100.0,2100,1950,0,No information,Bern,2021,True,True,False,False,False,False,False,True,False,21.0,840.0,40.0,False,False,False,2100_100.0_2.5_0_Noinformation_Bern,https://www.homegate.ch/mieten/3001601859
1.5,23.0,1240,1240,0,Belpstrasse 23,Bern,2022,False,False,True,True,False,False,False,False,False,53.91,826.67,15.33,False,False,False,1240_23.0_1.5_0_Belpstrasse23_Bern,https://www.homegate.ch/mieten/3001789326
1.0,80.0,1850,1600,0,Caecilienstrasse 26,Bern,0,True,False,False,False,False,False,False,False,False,23.12,1850.0,80.0,False,False,False,1850_80.0_1.0_0_Caecilienstrasse26_Bern,https://www.homegate.ch/mieten/3001748147
1.5,33.0,1470,1350,0,Brunngasse 30,Bern,0,False,False,True,False,False,False,False,False,False,44.55,980.0,22.0,False,False,False,1470_33.0_1.5_0_Brunngasse30_Bern,https://www.homegate.ch/mieten/3001761767
1.5,39.0,1590,1460,0,Brunngasse 30,Bern,0,False,False,True,False,False,False,False,False,False,40.77,1060.0,26.0,False,False,False,1590_39.0_1.5_0_Brunngasse30_Bern,https://www.homegate.ch/mieten/3001819080
2.0,39.0,1660,1550,0,Bärenplatz 9,Bern,0,False,False,False,False,False,False,False,False,False,42.56,830.0,19.5,False,False,False,1660_39.0_2.0_0_Bärenplatz9_Bern,https://www.homegate.ch/mieten/3001839678
3.0,84.0,2990,2780,0,Bärenplatz 9,Bern,0,False,False,False,False,False,False,False,False,False,35.6,996.67,28.0,False,False,False,2990_84.0_3.0_0_Bärenplatz9_Bern,https://www.homegate.ch/mieten/3001839680
3.0,101.0,3700,3450,0,Bärenplatz 27 Käfiggässchen 26,Bern,0,False,False,False,False,False,False,False,False,False,36.63,1233.33,33.67,False,False,False,3700_101.0_3.0_0_Bärenplatz27Käfiggässchen26_Bern,https://www.homegate.ch/mieten/3001839679
5.0,220.0,3800,3400,0,Gutenbergstrasse,Bern,2022,True,False,True,True,False,False,False,False,False,17.27,760.0,44.0,False,False,False,3800_220.0_5.0_0_Gutenbergstrasse_Bern,https://www.homegate.ch/mieten/3001721714
4.0,100.0,3200,2950,0,Gesellschaftsstrasse 5,Bern,2021,True,False,False,True,False,False,False,False,False,32.0,800.0,25.0,False,False,False,3200_100.0_4.0_0_Gesellschaftsstrasse5_Bern,https://www.homegate.ch/mieten/3001839697
2.5,85.0,2375,2200,0,Schänzlihalde 32,Bern,2017,True,False,False,False,False,False,False,False,False,27.94,950.0,34.0,False,False,False,2375_85.0_2.5_0_Schänzlihalde32_Bern,https://www.homegate.ch/mieten/3001858108
1.5,100.0,2262,2262,0,Moserstrasse 48,Bern,2013,True,False,True,False,False,False,False,False,False,22.62,1508.0,66.67,False,False,False,2262_100.0_1.5_0_Moserstrasse48_Bern,https://www.homegate.ch/mieten/3001825323
3.0,61.0,1395,1395,0,Bümplizstrasse 48,Bern,2018,True,False,False,False,False,False,False,False,False,22.87,465.0,20.33,False,False,False,1395_61.0_3.0_0_Bümplizstrasse48_Bern,https://www.homegate.ch/mieten/3001755063
2.5,74.0,1230,1015,0,Marktgasse 37,Biel/Bienne,0,False,False,True,False,False,False,False,True,False,16.62,492.0,29.6,False,False,False,1230_74.0_2.5_0_Marktgasse37_Biel/Bienne,https://www.homegate.ch/mieten/3001842279
2.5,0.0,1280,1100,0,Mettstrasse 126,Biel/Bienne,0,False,False,False,False,False,False,False,False,False,0.0,512.0,0.0,False,False,False,1280_0.0_2.5_0_Mettstrasse126_Biel/Bienne,https://www.homegate.ch/mieten/3001657097
4.5,102.0,2380,2180,0,Rue du Coteau 21,Bienne,0,True,False,True,True,False,False,False,True,False,23.33,528.89,22.67,False,False,False,2380_102.0_4.5_0_RueduCoteau21_Bienne,https://www.homegate.ch/mieten/3001831419
3.5,74.0,1330,1050,0,Mattenstr. 7,Brügg BE,1986,False,False,False,False,False,False,False,False,False,17.97,380.0,21.14,False,False,False,1330_74.0_3.5_0_Mattenstr.7_BrüggBE,https://www.homegate.ch/mieten/3000840689
4.5,92.0,1560,1250,0,Bielstr. 61,Brügg BE,1986,False,False,False,False,False,False,False,False,False,16.96,346.67,20.44,False,False,False,1560_92.0_4.5_0_Bielstr.61_BrüggBE,https://www.homegate.ch/mieten/3001358333
4.5,94.0,1650,1300,0,Mattenstr. 9,Brügg BE,1986,False,False,False,False,False,False,False,False,False,17.55,366.67,20.89,False,False,False,1650_94.0_4.5_0_Mattenstr.9_BrüggBE,https://www.homegate.ch/mieten/3001535325
4.5,109.0,1900,1670,0,Bernstrasse 145,Burgdorf,2011,False,True,True,False,False,False,False,False,False,17.43,422.22,24.22,False,False,False,1900_109.0_4.5_0_Bernstrasse145_Burgdorf,https://www.homegate.ch/mieten/3001855080
1.5,20.0,730,730,0,Insstrasse 42,Gampelen,2022,True,False,False,True,False,False,False,True,False,36.5,486.67,13.33,False,False,False,730_20.0_1.5_0_Insstrasse42_Gampelen,https://www.homegate.ch/mieten/3001776610
