rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_immoscout
5.5,150.0,2710,2350,3098,Talbrünnliweg 8,Köniz,1960,True,False,False,True,False,False,False,False,False,18.07,492.73,27.27,True,True,False,2710_150.0_5.5_3098_Talbrünnliweg8_Köniz,https://www.immoscout24.ch/de/d/wohnung-mieten-koeniz/7103274
4.5,112.5,1650,1380,3066,Bleichestrassse 21b,Stettlen,0,True,False,False,True,True,False,False,False,True,14.67,366.67,25.0,True,True,False,1650_112.5_4.5_3066_Bleichestrassse21b_Stettlen,https://www.immoscout24.ch/de/d/wohnung-mieten-stettlen/7043152
4.5,112.5,1945,1695,2502,Zentralstrasse 28,Biel/Bienne,2020,True,False,True,False,False,True,False,False,True,17.29,432.22,25.0,False,True,False,1945_112.5_4.5_2502_Zentralstrasse28_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7080317
3.5,90.0,1390,1300,3018,Thüringstrasse 24,Bern,0,True,True,False,True,False,False,False,False,False,15.44,397.14,25.71,True,False,False,1390_90.0_3.5_3018_Thüringstrasse24_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/6834689
5.0,115.0,2600,2290,3018,Statthalterstrasse 46,Bern,2022,True,True,False,False,False,False,False,True,True,22.61,520.0,23.0,False,False,False,2600_115.0_5.0_3018_Statthalterstrasse46_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7094973
4.5,112.0,1540,1350,3150,Thunstrasse 32,Schwarzenburg,0,True,False,True,False,False,False,False,False,True,13.75,342.22,24.89,False,False,False,1540_112.0_4.5_3150_Thunstrasse32_Schwarzenburg,https://www.immoscout24.ch/de/d/wohnung-mieten-schwarzenburg/7102418
4.0,81.0,1480,1260,4900,Grubenstrasse 43,Langenthal,2012,True,False,True,False,False,False,False,False,False,18.27,370.0,20.25,False,True,True,1480_81.0_4.0_4900_Grubenstrasse43_Langenthal,https://www.immoscout24.ch/de/d/wohnung-mieten-langenthal/6623830
2.0,50.0,1010,880,4900,Lagerweg 2,Langenthal,2008,True,True,False,True,False,False,False,False,False,20.2,505.0,25.0,False,True,False,1010_50.0_2.0_4900_Lagerweg2_Langenthal,https://www.immoscout24.ch/de/d/wohnung-mieten-langenthal/7085336
3.5,86.0,1530,1330,2502,Verresiusstrasse 11,Biel/Bienne,2009,True,True,True,True,False,True,False,False,False,17.79,437.14,24.57,False,True,False,1530_86.0_3.5_2502_Verresiusstrasse11_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7074290
3.5,79.0,1520,1290,2504,Südstrasse 48,Biel/Bienne,2015,True,True,True,False,False,True,False,False,False,19.24,434.29,22.57,True,True,False,1520_79.0_3.5_2504_Südstrasse48_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7073118
